ID_Entidad,Distrito,ID_Circunscripcion,Porcentaje1,Porcentaje2,Porcentaje3,Promedio1
1,1,2,0.45018113709737045,0.19294270182826012,0.9748872513985756,3.959459792493284
1,2,2,0.30592968603120885,0.11363319911455388,0.9917578492197782,3.649738672682835
1,3,2,0.25439695154813685,0.10994682291889425,0.9900560957651113,3.4453502759243655
2,1,1,0.29554321078218887,0.143361454022538,0.9361191322498683,3.220752112356703
2,2,1,0.20352982428799626,0.11350068285823614,0.9874391241672186,3.0518330930767132
2,3,1,0.3371214815025531,0.21367761276955308,0.8176141778201317,3.2273813418294055
2,4,1,0.2708263480354802,0.1399401876869135,0.9693845825586003,3.5408357972383944
2,5,1,0.15856577337760522,0.11849529039370359,0.9889598893709493,3.1386662209085867
2,6,1,0.18767604589794526,0.1228214512567678,0.9691938209742936,3.1239214872357457
2,7,1,0.30783364938207025,0.16315550949986882,0.917818609821487,3.267004511868175
2,8,1,0.2593206805478779,0.14361211015084008,0.9747422012024923,3.3877525950494443
3,1,1,0.29840209297645404,0.1508911124036834,0.9477641376534514,3.1758502716844434
3,2,1,0.34543155286769955,0.15451926045346961,0.8876319434288517,3.4316388943850384
4,1,3,0.46338129827848334,0.22350450094060126,0.9222092541118295,3.606270252007924
4,2,3,0.536535086710961,0.2624434525604681,0.892015541301699,3.503651592830157
5,1,2,0.3918070697059795,0.12707958685283258,0.978918416422738,3.3985525618272754
5,2,2,0.5252877237851662,0.15616125438005704,0.9409287084398977,3.561796675191816
5,3,2,0.35669162007643956,0.10080331773686546,0.9831564484032976,3.387085820777662
5,4,2,0.255744412968209,0.0789044260468512,0.9862291469940195,3.5206598563539075
5,5,2,0.3056216810108039,0.10632502341409708,0.9923731917231277,3.226158212781542
5,6,2,0.39915733295881467,0.1208132124980706,0.9814894139952951,3.5416031740458553
5,7,2,0.3483571534969777,0.10699796865086987,0.9720743534060351,3.6945034613062804
6,1,5,0.27638025171964437,0.14941937056992782,0.9846015538656946,3.1215627732048894
6,2,5,0.4626208489967521,0.23699849418941027,0.9800202638082702,3.3124698173416536
7,1,3,0.8411868090726624,0.5657973496185057,0.8216042513805547,4.247803072059236
7,10,3,0.7705307329168852,0.4597255173036643,0.8876448428782605,3.8997472700395783
7,11,3,0.9134265371848818,0.5640338332039391,0.5831245912562777,4.779889191890525
7,12,3,0.617931349417764,0.2832191066240791,0.901041005995721,3.6653897218628173
7,13,3,0.8290236560877559,0.45997757098712266,0.8465182521565221,4.26210581604412
7,2,3,0.9187286303164577,0.5963977140789216,0.7751350084679868,4.726595869326715
7,3,3,0.9082014354850022,0.6544610563731604,0.7125640006546186,4.966778107684754
7,4,3,0.7560317842523477,0.42929192931172894,0.8886973272333253,3.917620996869733
7,5,3,0.7683660233481389,0.49679866402536726,0.7618116426241107,4.451249950866711
7,6,3,0.5734119591102759,0.30500634782531494,0.9017609797981434,3.7990101576295623
7,7,3,0.7542152324651906,0.4143253111494779,0.8572211997843585,3.604242187645233
7,8,3,0.7551406792775884,0.456798239607016,0.8498049093692893,3.837251609291912
7,9,3,0.3396130569203955,0.16271070926977474,0.9599306340156073,3.617979102621369
8,1,1,0.29377055730359525,0.09013835754026024,0.9967607754161405,3.4898863417453283
8,2,1,0.48977824248193635,0.16874906210649251,0.9776369793536104,3.322133616317358
8,3,1,0.39657411297406714,0.1605440089986451,0.9718806095558187,3.5021005996257113
8,4,1,0.1832324912446686,0.08402989570390451,0.9924463807481898,3.04590158931201
8,5,1,0.4591408060166369,0.17184936460048997,0.9869487598283131,3.1707904432711667
8,6,1,0.19417931868938132,0.06561665791066747,0.9928753933979932,3.055181912380854
8,7,1,0.5826868144670642,0.2594880614296113,0.8908497803705654,3.114474831070877
8,8,1,0.3194592475950133,0.1018530657379488,0.9784978030214472,3.1674310822612033
8,9,1,0.616714022709617,0.41996119798023923,0.7371047898775128,3.5175004522768147
9,1,4,0.28890383811203435,0.1505366703383969,0.9950182723950474,3.5072089598370937
9,10,4,0.10757751277683135,0.05621916572977691,0.9831073253833049,2.8106984667802384
9,11,4,0.18806938233993414,0.08036854955908031,0.9951845118176011,3.2335610043732497
9,12,4,0.133690485781036,0.06412676179637573,0.9942963022637558,2.6403609119471523
9,13,4,0.18488280221227285,0.08529657477025898,0.9961174781448852,3.4301528371294827
9,14,4,0.19316574384674454,0.1051662043383308,0.9896233278098856,3.4118437537889506
9,15,4,0.060424985657728074,0.029017530662989198,0.9979381209067724,2.4552776720646623
9,16,4,0.1905770834396964,0.10004500877211783,0.9951158081040146,3.376159357396913
9,17,4,0.20787841732902437,0.1173757017138943,0.9904096427635601,3.6829330072495416
9,18,4,0.2242888606838883,0.09505841542036195,0.9941484993280574,3.4504722263700165
9,19,4,0.24377833016522885,0.11033448168282985,0.9964127309060778,3.6246429789930303
9,2,4,0.19255044820105605,0.07811286214102046,0.995137325529041,3.2347181859113423
9,20,4,0.27547440102977205,0.13009512316320013,0.9948096167421002,3.6201677531868954
9,21,4,0.360325632800496,0.13608978460226062,0.8769711836536647,3.8595034638919588
9,22,4,0.3419302943602171,0.17499124220556295,0.9939926486310366,3.833331636341421
9,23,4,0.1540962234349276,0.0802150478478405,0.9961390284057196,3.222331792844667
9,24,4,0.16282093511086454,0.07479872943607127,0.9881334188582425,3.3125184196383683
9,3,4,0.16909397173692683,0.07452818183327155,0.9951031542543677,3.2149767455727147
9,4,4,0.23780028541980497,0.13785938828100758,0.995163719971458,3.538085705224768
9,5,4,0.2299056940704061,0.10683167066548807,0.9187540420274327,3.4610565739051533
9,6,4,0.1926105442910245,0.11207894475731162,0.9891245288877006,3.478951953013825
9,7,4,0.22461527065316025,0.09137864544149908,0.9956295486953463,3.5368895720291116
9,8,4,0.2174162427479337,0.08916939171065799,0.9955147674167129,3.0777628374502815
9,9,4,0.27883377791042546,0.1143830387412334,0.9739222891678636,3.669654349083176
10,1,1,0.5576266494417275,0.22662942788531196,0.837366933149899,3.923343427818836
10,2,1,0.4970684089881333,0.1590821344235506,0.9658422866409893,3.5855541174819505
10,3,1,0.5898810033387553,0.20061387989559515,0.9454156322232685,3.6609023200068487
10,4,1,0.3447609775696746,0.09797512892599045,0.9877765157661312,3.601191442015716
11,1,2,0.564518041765042,0.3237897497541252,0.8607544444085082,4.112918701553522
11,10,2,0.5290118470651589,0.29930522906545476,0.9640068466805138,3.617124394184168
11,11,2,0.3632812902560932,0.1816078003826137,0.9590869273973308,4.04827124233524
11,12,2,0.32300220105098154,0.13840309024535188,0.9872810116712556,3.5021157704084533
11,13,2,0.6169838461987054,0.31444768664739153,0.943325622533678,3.970734599459596
11,14,2,0.5628023352793995,0.3015960830959033,0.9398294875359096,3.6817347789824852
11,15,2,0.41263761024914697,0.17132697706899255,0.9769201055816649,3.93822828816069
11,2,2,0.5344168081652455,0.27053267704360373,0.8982982852238165,4.053234564215476
11,3,2,0.2704779455273969,0.15065921316316844,0.9678692792777561,3.7268170214204805
11,4,2,0.5090633176347462,0.2508021683184581,0.8953427524856097,3.9497121925693355
11,5,2,0.40552437757853516,0.20651772435321228,0.9466332548855202,3.972244719064724
11,6,2,0.3561519878462854,0.17911584469353908,0.9446358451563629,3.8722365657454527
11,7,2,0.5886584109333385,0.31068224232591696,0.9362643130698497,3.9864888508719067
11,8,2,0.44345530396547217,0.22251219249234203,0.9649676076516224,3.800428894515376
11,9,2,0.5124139568003798,0.20894000059415158,0.9479895561357702,4.005801091858533
12,1,4,0.7345071472699772,0.48121123825956735,0.7739822330159136,3.741409428857502
12,2,4,0.5868101550295534,0.33983967390356007,0.8034312964197948,3.562500570969186
12,3,4,0.6099048432642794,0.3602222129078229,0.8678879634243769,3.372566700679465
12,4,4,0.40521734384806396,0.19703319808448247,0.9125712882364178,3.348104892624226
12,5,4,0.8211329259307416,0.651107936998147,0.6472175269795866,4.350572097256534
12,6,4,0.8150287857816293,0.6160856610800745,0.6344306031975286,4.1255140318148085
12,7,4,0.4775485679951933,0.29159883176827484,0.8675045063088324,3.9796715401562186
12,8,4,0.8113352055144243,0.47951863173780135,0.724779167730406,3.842379371968343
12,9,4,0.533641330904891,0.2764564865542064,0.8672293545377815,3.584674159299898
13,1,5,0.8072969746382087,0.501867950919811,0.8019198478098399,3.8765104970445217
13,2,5,0.6866286352862717,0.27856338465065783,0.8853741404637665,3.6412883806021936
13,3,5,0.6178272735275993,0.22836229086229087,0.9188484901839951,3.659124922968571
13,4,5,0.6035875888817065,0.31719327448008006,0.8945988651871005,3.7385531135531136
13,5,5,0.5450949608267537,0.17674400115845573,0.9374066396366186,3.5784531902569885
13,6,5,0.3163383318631775,0.11339376029863878,0.9747329216896992,3.424352314678689
13,7,5,0.3782371428784723,0.1247533692761883,0.9739386202623308,3.330063529745508
14,1,1,0.5001979003712987,0.2729275266649207,0.9386226134157604,3.6710707352469987
14,10,1,0.15432258272904925,0.09817966077603123,0.9840840452849691,3.311729840598201
14,11,1,0.22927894198420148,0.12172535146389549,0.9973739440407513,3.609044600765669
14,12,1,0.3264181875735256,0.1300850595338377,0.9931446983620034,3.4279106684745893
14,13,1,0.19141369022536114,0.12040420402320501,0.9947073002174389,3.4809277394778095
